Unnamed: 0,index,Insights,Sentiment,OpenAI,Score
6864,6868,however all pediatrics cns tumors (if biopsy is performed) are getting molecular testing with foundation medicine cdx at diagnosis,Positive,Neutral,0
3884,3886,tempus is the laboratory of elections for the ngs panel including ntrk 1 2 and,Positive,Neutral,0
6623,6627,regarding testing updates they now have an in-house sarcoma fusion panel at the university,Positive,Neutral,0
11218,11226,uncertain what will happen with tak-700 as the program has been closed,Negative,Neutral,0
1002,1003,however if a psadt is less than 6 months he will consider an agent at that thing,Positive,Neutral,0
124,124,tnbc) where ntrk testing is not occurring regularly and perhaps shed the light on ntrk tki treatment patterns outside of clinical trials and in the absence of comparative data,Positive,Neutral,0
9780,9788,for bcr study helpful advice to incorporate improved imaging and make it daro monotherapy,Positive,Negative,0
10252,10260,tl stated they recently started melanoma patient with an ntrk gene fusion on larotrectinib and had to reduce the dose early due aes ie elevated ast alt,Positive,Neutral,0
334,335,tl reports working with with anzup team to track psma expression in mhspc to define when best to deploy radionuclide therapy in mhspc (he suspects the best time will be at month 6 and it will be in pts with persistent psa and psma pet uptake),Positive,Neutral,0
2296,2297,c mentioned she is using a mix of both f1cdx and caris life sciences for her patients cgp needsmore recently she started using guardant 360 liquid biopsy (even with enough tissue) just to get a rapid ngs resultalso stated she will not completely rely on the liq biopsy ngs and will complement with tissue ngs for treatment decisions,Positive,Neutral,0
6768,6772,dasl investigator asked if the recent stampede data from esmo in the m0 population would affect the dasl study since the adt alone arm did not perform as well at the arm with abi so would the adt arm in dasl be modified,Negative,Neutral,0
13098,13107,"DASL investigator asked if the recent STAMPEDE data from ESMO in the M0 population would impact the DASL study since the ADT alone arm did not perform as well at the arm with Abi, so would the ADT arm in DASL be modified.",Negative,Neutral,0
9771,9779,embark patients have yet to progressed so dont think itll reach interim results by due timeline of sept 202,Positive,Negative,0
166,166,ntrkers is planning outreach to other cancerous cell patient advocacy groups and i believe this would be another opportunity to spread awareness for ntrk testing (ie,Positive,Neutral,0
344,345,tl reports working with anzup team to track psma expression in mhspc to define when best to deploy radionuclide treatment in mhspc (he suspects the best time will be at month 6 and it will be in pts with persistent psa and psma pet uptake),Positive,Neutral,0
9778,9786,for bcr studying advice to incorporate improved imaging and make it daro monotherapy,Positive,Negative,0
11172,11180,have not opened to recruitment yet as the process remains under review,Neutral,Negative,0
8536,8542,it is expected to have less brain penetrations,Negative,Neutral,0
7546,7550,larotrectinib was looked at as a last effort for the patient almost 17 years after the initial diagnosis,Positive,Neutral,0
11191,11199,s1216 was consistent with other agents used in mhspc (enza apa abi) the addition of tak-700 provided an impressive extension to rpfs but was not powered to detect the different in os compared to an active arm (lhrh bicalutamide),Negative,Neutral,0
